2025-06-10 10:51:11,413 - INFO - PairManager initialized with available pairs
2025-06-10 10:51:11,417 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,417 - INFO - Timer started for camera 0, pair (10000162, 10000140)
2025-06-10 10:51:11,417 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,418 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - INFO - Timer started for camera 0, pair (10000162, 10000141)
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,419 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.01s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - INFO - Timer started for camera 1, pair (10000146, 10000164)
2025-06-10 10:51:11,420 - DEBUG - Checking pair (1, 10000146, 10000164): start=True, end=False, end_camera=0, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - Checking pair (1, 10000234, 10000164): start=True, end=False, end_camera=0, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,420 - DEBUG - No available start path for end 10000147 on camera 2
2025-06-10 10:51:11,420 - DEBUG - Checking pair (2, 10000172, 10000147): start=False, end=False, end_camera=1, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
